ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
21991139,5,INSTITUCION EDUCATIVA SANTANDER,16672,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,3,3,4,3,0,0,0,0,False,True,False,True,False,True,False,False,False,True,False,False
23281196,3,I.E. FRANCISCO MIRANDA,29705,A,94001,INÍRIDA,94,GUAINIA,0,0,6,8,0,0,0,1,False,True,False,True,False,True,False,False,False,False,True,False
861262,8,I.E. LAS ACACIAS,49012,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,14,5,14,9,2,0,2,1,True,False,False,True,False,True,False,False,False,False,True,False
22925902,8,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,13116,A,91540,PUERTO NARIÑO,91,AMAZONAS,9,0,2,4,1,0,0,0,True,False,False,True,True,False,False,False,False,False,True,False
22824609,9,I.E. LIBERTADORES,3665,A,94001,INÍRIDA,94,GUAINIA,6,4,8,6,0,0,1,0,False,True,False,True,False,False,False,True,False,False,True,False
21885586,9,I.E. LATORRE GOMEZ,23192,A,95025,EL RETORNO,95,GUAVIARE,9,11,17,7,1,1,2,1,True,False,False,True,False,False,False,True,True,False,False,False
22925373,7,I.E. INDIGENA SAN JUAN BOSCO,32398,A,91001,LETICIA,91,AMAZONAS,10,7,11,11,1,1,1,1,True,False,False,True,False,False,False,True,False,False,True,False
21996701,5,I.E. KUAWAI,63114,A,99773,CUMARIBO,99,VICHADA,2,7,7,0,0,1,1,0,True,False,False,True,False,False,False,True,False,False,True,False
1330612,10,I.E. INTERNADO CAMILO TORRES,13044,A,99624,SANTA ROSALÍA,99,VICHADA,14,12,12,6,2,1,1,0,False,True,False,True,False,True,False,False,False,False,True,False
22804538,6,I.E. LA PRIMAVERA,48958,A,94001,INÍRIDA,94,GUAINIA,2,5,4,3,0,0,0,0,True,False,False,True,False,True,False,False,False,False,True,False
23584854,3,I.E. INTERNADO CAMILO TORRES,13043,A,99624,SANTA ROSALÍA,99,VICHADA,0,0,11,9,0,0,1,1,False,True,False,True,True,False,False,False,False,False,True,False
22801788,7,I.E. LA PRIMAVERA,48958,A,94001,INÍRIDA,94,GUAINIA,1,5,13,5,0,0,1,0,False,True,False,True,False,True,False,False,False,False,True,False
1261302,7,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,A,99001,PUERTO CARREÑO,99,VICHADA,11,0,11,11,1,0,1,1,False,True,False,True,True,False,False,False,False,False,True,False
23657562,5,I.E. LIBERTADORES,3664,A,94001,INÍRIDA,94,GUAINIA,10,9,6,3,1,1,0,0,True,False,False,True,False,True,False,False,False,False,True,False
23437846,3,I.E. EL RETIRO,49004,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,3,6,0,0,0,0,True,False,False,True,False,True,False,False,False,False,True,False
23579050,4,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,A,99001,PUERTO CARREÑO,99,VICHADA,0,0,4,6,0,0,0,0,False,True,False,True,True,False,False,False,False,False,True,False
1289271,10,I.E. INTERNADO SILVINO CARO HEREDIA,32369,A,99773,CUMARIBO,99,VICHADA,13,17,7,6,1,2,1,0,False,True,False,True,False,True,False,False,False,False,True,False
